,pred_age,pred_age,pred_age,pred_age,pred_age,pred_age,pred_age,pred_age
,count,mean,std,min,25%,50%,75%,max
age,,,,,,,,
19,1.0,48.0,,48.0,48.0,48.0,48.0,48.0
20,7.0,45.285714285714285,5.1869800370506445,40.0,40.0,47.0,49.0,52.0
21,30.0,45.46666666666667,2.956387979453555,40.0,45.0,45.0,45.75,52.0
22,125.0,45.5,3.5206762546878094,35.0,44.0,45.0,47.0,55.0
23,47.0,43.659574468085104,6.168914342314393,18.0,43.0,45.0,45.5,53.0
24,15.0,45.733333333333334,3.0347197250362026,38.0,45.0,45.0,47.5,52.0
25,5.0,46.6,5.683308895353129,39.0,45.0,45.0,50.0,54.0
26,3.0,48.0,2.0,46.0,47.0,48.0,49.0,50.0
27,2.0,48.5,4.949747468305833,45.0,46.75,48.5,50.25,52.0
28,1.0,38.0,,38.0,38.0,38.0,38.0,38.0
29,1.0,43.0,,43.0,43.0,43.0,43.0,43.0
30,1.0,47.0,,47.0,47.0,47.0,47.0,47.0
31,1.0,45.0,,45.0,45.0,45.0,45.0,45.0
